modelo,grupo,caminho_csv,batch_id,linhas,nodes_totais,edges_totais,matches_validos_totais,nodes_medios_por_pergunta,edges_medios_por_pergunta,matches_validos_medios_por_pergunta,taxa_matching,alertas
GPT-o3,GraphRAG + Ontologia,resultados/petrobras-0-3-com-ontologia/batch_ae3b085b-4e55-401f-8eda-0118cda89f27-completo.csv,ae3b085b-4e55-401f-8eda-0118cda89f27,312,12824.0,20797.0,5486.0,41.1025641025641,66.65705128205128,17.583333333333332,42.77916406737368,
GPT-o3,GraphRAG,resultados/petrobras-0-3-sem-ontologia/batch_3cf910d9-6eda-4a3b-8277-ffe9f09efad8-completo.csv,3cf910d9-6eda-4a3b-8277-ffe9f09efad8,312,9577.0,16457.0,337.0,30.69551282051282,52.74679487179487,1.080128205128205,3.5188472381747937,
GPT-4o,GraphRAG + Ontologia,resultados/petrobras-4-0-com-ontologia/batch_2da16bdc-1fdd-4def-9e74-55aa32fe8d3f-completo.csv,2da16bdc-1fdd-4def-9e74-55aa32fe8d3f,312,9421.0,13862.0,4940.0,30.19551282051282,44.42948717948718,15.833333333333334,52.436047128754915,
GPT-4o,GraphRAG,resultados/petrobras-4-0-sem-ontologia/batch_3c43a79b-46f4-493b-9d1c-0877b59f8e91-completo.csv,3c43a79b-46f4-493b-9d1c-0877b59f8e91,312,6759.0,10484.0,976.0,21.66346153846154,33.6025641025641,3.128205128205128,14.440005918035212,
GPT-4.1,GraphRAG + Ontologia,resultados/petrobras-4-1-com-ontologia/batch_d0f7eb82-b364-4481-acfb-0c34fa1e8410-completo.csv,d0f7eb82-b364-4481-acfb-0c34fa1e8410,312,12503.0,19792.0,5959.0,40.07371794871795,63.43589743589744,19.099358974358974,47.66056146524834,
GPT-4.1,GraphRAG,resultados/petrobras-4-1-sem-ontologia/batch_6216f63d-7efa-49ad-b85e-42ddd91d94ca-completo.csv,6216f63d-7efa-49ad-b85e-42ddd91d94ca,312,9294.0,15868.0,871.0,29.78846153846154,50.85897435897436,2.7916666666666665,9.371637615666021,
GPT-5.2,GraphRAG + Ontologia,resultados/petrobras-5-2-com-ontologia-adaptatado/batch_bf41e0dd-3e3d-49b8-b066-6a1bb34353b0-completo.csv,bf41e0dd-3e3d-49b8-b066-6a1bb34353b0,312,12969.0,20720.0,6181.0,41.56730769230769,66.41025641025641,19.810897435897434,47.65980414835377,
GPT-5.2,GraphRAG + Ontologia,resultados/petrobras-5-2-com-ontologia-antes-adaptacao/batch_e14437f4-a6e7-4019-a1b8-07eb3253dcdb-completo.csv,e14437f4-a6e7-4019-a1b8-07eb3253dcdb,312,7960.0,14001.0,830.0,25.512820512820515,44.875,2.66025641025641,10.42713567839196,
GPT-5.2,GraphRAG,resultados/petrobras-5-2-sem-ontologia/batch_88394d97-d425-424d-b673-45bce1fea654-completo.csv,88394d97-d425-424d-b673-45bce1fea654,312,9374.0,16038.0,881.0,30.044871794871796,51.40384615384615,2.823717948717949,9.39833582248773,
GPT-5.4,GraphRAG + Ontologia,resultados/petrobras-5-4-com-ontologia/batch_c74bf462-a766-47cf-9119-7b3381ad30d8-completo.csv,c74bf462-a766-47cf-9119-7b3381ad30d8,312,18764.0,32932.0,7229.0,60.14102564102564,105.55128205128206,23.169871794871796,38.52590066083991,
GPT-5.4,GraphRAG,resultados/petrobras-5-4-sem-ontologia/batch_03e32f0c-2f76-4270-acdd-300680761ce7-completo.csv,03e32f0c-2f76-4270-acdd-300680761ce7,312,14843.0,26267.0,211.0,47.57371794871795,84.18910256410257,0.6762820512820513,1.4215455096678569,
GPT-5-mini,GraphRAG + Ontologia,resultados/petrobras-5-mini-com-ontologia/batch_b90cb524-548f-476d-889b-1a51975717b1-completo.csv,b90cb524-548f-476d-889b-1a51975717b1,312,17161.0,29029.0,7177.0,55.00320512820513,93.04166666666667,23.003205128205128,41.821572169453994,
GPT-5-mini,GraphRAG,resultados/petrobras-5-mini-sem-ontologia/batch_51ee2c57-4aab-4371-98c1-4998ae120218-completo.csv,51ee2c57-4aab-4371-98c1-4998ae120218,312,13386.0,23302.0,1425.0,42.90384615384615,74.68589743589743,4.5673076923076925,10.645450470640968,
