metrica,agregacao,antes_adaptacao,adaptado,diferenca_adaptado_menos_antes,variacao_percentual,questoes_comparadas
RAG - Answer Relevancy,media,0.9954545454545455,0.997362107913669,0.0019075624591234908,0.19162727899870682,139
RAG - Faithfulness,media,0.9696969696969697,0.9892086330935251,0.019511663396555412,2.012140287769777,139
GraphRAG - Answer Relevancy,media,0.987058080808081,0.9940047913669064,0.006946710558825453,0.7037793108525434,139
GraphRAG - Faithfulness,media,0.9715909090909091,0.9869704244604318,0.015379515369522756,1.5829208801380148,139
Graph data nodes,total,3347.0,5895.0,2548.0,76.12787570959068,139
Graph data nodes,media_por_questao,24.07913669064748,42.410071942446045,18.330935251798564,76.1278757095907,139
Edges,total,5750.0,9217.0,3467.0,60.29565217391304,139
Edges,media_por_questao,41.36690647482014,66.30935251798562,24.942446043165475,60.29565217391306,139
Matches validos,total,361.0,3011.0,2650.0,734.0720221606648,139
Matches validos,media_por_questao,2.597122302158273,21.66187050359712,19.06474820143885,734.0720221606649,139
Taxa de matching,percentual,10.785778308933374,51.077184054283286,40.29140574534991,373.56048484677603,139
