Modelo,Configuração,Ontology Alignment ↑,Geological Adequacy ↑,Faithfulness ↑
Geral,GraphRAG,0.9441,0.9312,0.9758
Geral,GraphRAG + Ontologia,0.9438,0.9288,0.9766
Geral,Δ (%),-0.0381,-0.2575,0.0834
GPT-4o,GraphRAG,0.9317,0.9165,0.9568
GPT-4o,GraphRAG + Ontologia,0.9388,0.9309,0.9802
GPT-4o,Δ (%),0.7722,1.5699,2.4436
GPT-4.1,GraphRAG,0.9338,0.9281,0.959
GPT-4.1,GraphRAG + Ontologia,0.9381,0.9144,0.982
GPT-4.1,Δ (%),0.4622,-1.4729,2.4006
GPT-5-mini,GraphRAG,0.9482,0.9317,0.9712
GPT-5-mini,GraphRAG + Ontologia,0.9518,0.9367,0.9749
GPT-5-mini,Δ (%),0.3794,0.5405,0.381
GPT-5.2,GraphRAG,0.941,0.9173,1.0
GPT-5.2,GraphRAG + Ontologia,0.9396,0.9201,0.9872
GPT-5.2,Δ (%),-0.1529,0.3137,-1.2847
GPT-5.4,GraphRAG,0.9532,0.9417,0.9784
GPT-5.4,GraphRAG + Ontologia,0.9353,0.9252,0.9676
GPT-5.4,Δ (%),-1.8868,-1.7571,-1.1029
GPT-o3,GraphRAG,0.9568,0.9518,0.9892
GPT-o3,GraphRAG + Ontologia,0.959,0.9453,0.9676
GPT-o3,Δ (%),0.2256,-0.6803,-2.1818
