metrica,agregacao,antes_adaptacao,adaptado,diferenca_adaptado_menos_antes,variacao_percentual,questoes_comparadas
RAG - Answer Relevancy,media,0.9954545454545455,,,,139
RAG - Faithfulness,media,0.9696969696969697,,,,139
GraphRAG - Answer Relevancy,media,0.987058080808081,,,,139
GraphRAG - Faithfulness,media,0.9715909090909091,,,,139
Graph data nodes,total,3347.0,11305.0,7958.0,237.76516283238723,139
Graph data nodes,media_por_questao,24.07913669064748,81.33093525179856,57.251798561151084,237.76516283238726,139
Edges,total,5750.0,19529.0,13779.0,239.63478260869567,139
Edges,media_por_questao,41.36690647482014,140.49640287769785,99.1294964028777,239.6347826086957,139
Matches validos,total,361.0,5716.0,5355.0,1483.3795013850415,139
Matches validos,media_por_questao,2.597122302158273,41.12230215827338,38.5251798561151,1483.3795013850415,139
Taxa de matching,percentual,10.785778308933374,50.56169836355595,39.775920054622574,368.78117568648685,139
