Modelo,Configuração,Ontology Alignment ↑,Geological Adequacy ↑,Faithfulness ↑
Geral,GraphRAG,0.9441,0.9312,0.9758
Geral,GraphRAG + Ontologia,0.9578,0.9466,0.9718
Geral,Δ (%),1.4478,1.6611,-0.4035
GPT-4o,GraphRAG,0.9317,0.9165,0.9568
GPT-4o,GraphRAG + Ontologia,0.9547,0.9403,0.9647
GPT-4o,Δ (%),2.471,2.5903,0.8271
GPT-4.1,GraphRAG,0.9338,0.9281,0.959
GPT-4.1,GraphRAG + Ontologia,0.9532,0.946,0.982
GPT-4.1,Δ (%),2.0801,1.938,2.4006
GPT-5-mini,GraphRAG,0.9482,0.9317,0.9712
GPT-5-mini,GraphRAG + Ontologia,0.9561,0.9432,0.9724
GPT-5-mini,Δ (%),0.8346,1.2355,0.1235
GPT-5.2,GraphRAG,0.941,0.9173,1.0
GPT-5.2,GraphRAG + Ontologia,0.964,0.9561,0.9718
GPT-5.2,Δ (%),2.4465,4.2353,-2.8177
GPT-5.4,GraphRAG,0.9532,0.9417,0.9784
GPT-5.4,GraphRAG + Ontologia,0.9568,0.9432,0.9784
GPT-5.4,Δ (%),0.3774,0.1528,0.0
GPT-o3,GraphRAG,0.9568,0.9518,0.9892
GPT-o3,GraphRAG + Ontologia,0.9619,0.9511,0.9616
GPT-o3,Δ (%),0.5263,-0.0756,-2.7879
